r(t) - SetPoint; t - Tempo;e(t) - Erro;u(t) - Saído do Controlador;y(t) - Variável de Processo
1;0;1;1;0
1;0.02;1;1;0.00498752080731768
1;0.04;1;1;0.0246900879716673
1;0.06;1;1;0.0440025181669
1;0.08;1;1;0.0582354664157512
1;0.1;1;1;0.0768836536133641
1;0.12;1;1;0.0951625819640403
1;0.14;1;1;0.113079563282842
1;0.16;1;1;0.130641764601194
1;0.18;1;1;0.147856211033788
1;0.2;1;1;0.164729788588728
1;0.22;1;1;0.177165341943981
1;0.24;1;1;0.193458559822673
1;0.26;1;1;0.205466397496666
1;0.28;1;1;0.221199216928595
1;0.3;1;1;0.236620505663147
1;0.32;1;1;0.251736432421435
1;0.34;1;1;0.26655304377571
1;0.36;1;1;0.281076266568074
1;0.38;1;1;0.295311910281286
1;0.4;1;1;0.305803349122021
1;0.42;1;1;0.319549363795412
1;0.44;1;1;0.32967995396436
1;0.46;1;1;0.342953180184943
1;0.48;1;1;0.355963578916858
1;0.5;1;1;0.368716354493074
1;0.52;1;1;0.37811494353498
1;0.54;1;1;0.39042909270369
1;0.56;1;1;0.402499405381762
1;0.58;1;1;0.414330709855206
1;0.6;1;1;0.425927738803564
1;0.62;1;1;0.437295131193044
1;0.64;1;1;0.44843743413217
1;0.66;1;1;0.459359104690683
1;0.68;1;1;0.470064511682431
1;0.7;1;1;0.477954223238983
1;0.72;1;1;0.488291422213457
1;0.74;1;1;0.498423930933944
1;0.76;1;1;0.508355802539034
1;0.78;1;1;0.518091009909797
1;0.8;1;1;0.527633447258985
1;0.82;1;1;0.536986931688772
1;0.84;1;1;0.546155204717644
1;0.86;1;1;0.552912073440643
1;0.88;1;1;0.56176500753505
1;0.9;1;1;0.57044264178926
1;0.92;1;1;0.578948447372678
1;0.940000000000001;1;1;0.58728582672095
1;0.960000000000001;1;1;0.5934303402594
1;0.980000000000001;1;1;0.601480958915485
1;1;1;1;0.609372164641478
1;1.02;1;1;0.617107114024887
1;1.04;1;1;0.6246889011486
1;1.06;1;1;0.632120558828557
1;1.08;1;1;0.639405059826921
1;1.1;1;1;0.646545318041219
1;1.12;1;1;0.653544189669942
1;1.14;1;1;0.66040447435506
1;1.16;1;1;0.66712891630192
1;1.18;1;1;0.672084721100411
1;1.2;1;1;0.678577878665608
1;1.22;1;1;0.684942463096586
1;1.24;1;1;0.691181020311979
1;1.26;1;1;0.697296045817856
1;1.28;1;1;0.703289985705954
1;1.3;1;1;0.709165237632148
1;1.32;1;1;0.714924151775546
1;1.34;1;1;0.720569031778592
1;1.36;1;1;0.726102135668554
1;1.38;1;1;0.731525676760763
1;1.4;1;1;0.735522738700175
1;1.42;1;1;0.740759739354108
1;1.44;1;1;0.745893040447199
1;1.46;1;1;0.75216696363277
1;1.48;1;1;0.755856716846562
1;1.5;1;1;0.760691077756245
1;1.52;1;1;0.765429711906202
1;1.54;1;1;0.770074514813275
1;1.56;1;1;0.774627344460561
1;1.58;1;1;0.779090022040621
1;1.6;1;1;0.782378943134767
1;1.62;1;1;0.786688128777084
1;1.64;1;1;0.790911986826716
1;1.66;1;1;0.795052206883202
1;1.68;1;1;0.799110445089767
1;1.7;1;1;0.803088324795805
1;1.72;1;1;0.806987437206238
1;1.74;1;1;0.810809342018017
1;1.76;1;1;0.814555568044028
1;1.78;1;1;0.818227613824632
1;1.8;1;1;0.821826948227101
1;1.82;1;1;0.824479599383002
1;1.84;1;1;0.827955136176949
1;1.86;1;1;0.831361852731404
1;1.88;1;1;0.834701111778413
1;1.9;1;1;0.837974249066119
1;1.92;1;1;0.841182573893079
1;1.94;1;1;0.843547057325045
1;1.96;1;1;0.846645033155071
1;1.98;1;1;0.849681664953599
1;2;1;1;0.852658167413837
1;2.02;1;1;0.855575731176457
1;2.04;1;1;0.858435523305865
1;2.06;1;1;0.861238687757044
1;2.08;1;1;0.86398634583315
1;2.1;1;1;0.866011325331195
1;2.12;1;1;0.868664478851507
1;2.14;1;1;0.871265096412195
1;2.16;1;1;0.873814218294961
1;2.18;1;1;0.876312864182545
1;2.2;1;1;0.878762033566618
1;2.22;1;1;0.88116270614759
1;2.24;1;1;0.883515842226503
1;2.26;1;1;0.885822383089163
1;2.28;1;1;0.88752226634571
1;2.3;1;1;0.889749474695514
1;2.32;1;1;0.89193258136517
1;2.34;1;1;0.894072459626454
1;2.36;1;1;0.896169965459202
1;2.38;1;1;0.898225937893716
1;2.4;1;1;0.900241199346381
1;2.42;1;1;0.902216555948649
1;2.44;1;1;0.904152797869501
1;2.46;1;1;0.90605069963152
1;2.48;1;1;0.907911020420719
1;2.5;1;1;0.909734504390215
1;2.52;1;1;0.911078382540613
1;2.54;1;1;0.912839148538019
1;2.56;1;1;0.914565049032679
1;2.58;1;1;0.916256774407804
1;2.6;1;1;0.917915001376101
1;2.62;1;1;0.919540393250467
1;2.64;1;1;0.921133600209325
1;2.66;1;1;0.9226952595567
1;2.68;1;1;0.924225995977154
1;2.7;1;1;0.925726421785666
1;2.72;1;1;0.927197137172564
1;2.74;1;1;0.928281030591409
1;2.76;1;1;0.929701161334771
1;2.78;1;1;0.931093171605337
1;2.8;1;1;0.932457618225775
1;2.82;1;1;0.933795046992926
1;2.84;1;1;0.935105992896131
1;2.86;1;1;0.936390980331228
1;2.88;1;1;0.937650523310326
1;2.9;1;1;0.938885125667411
1;2.92;1;1;0.940095281259888
1;2.94;1;1;0.941281474166127
1;2.96;1;1;0.942155679125161
1;2.98;1;1;0.943301073420153
1;3;1;1;0.944423787388517
1;3.02;1;1;0.94552427013081
1;3.04;1;1;0.946602961854803
1;3.06;1;1;0.947660294051567
1;3.08;1;1;0.948696689668081
1;3.1;1;1;0.949712563276408
1;3.12;1;1;0.950708321239538
1;3.14;1;1;0.95144217872999
1;3.16;1;1;0.95240368801247
1;3.18;1;1;0.953346158135528
1;3.2;1;1;0.954269966099782
1;3.22;1;1;0.955175481440733
1;3.24;1;1;0.956063066376592
1;3.26;1;1;0.956933075953169
1;3.28;1;1;0.957785858185893
1;3.3;1;1;0.958621754199029
1;3.32;1;1;0.959441098362128
1;3.34;1;1;0.960244218423779
1;3.36;1;1;0.961031435642715
1;3.38;1;1;0.961611601982448
1;3.4;1;1;0.962371743192824
1;3.42;1;1;0.96311683259876
1;3.44;1;1;0.963847168245954
1;3.46;1;1;0.964563042278401
1;3.48;1;1;0.965264741055261
1;3.5;1;1;0.965952545265401
1;3.52;1;1;0.966626730039674
1;3.54;1;1;0.96728756506098
1;3.56;1;1;0.967935314672139
1;3.58;1;1;0.968412695643909
1;3.6;1;1;0.969038166176823
1;3.62;1;1;0.969651251563377
1;3.64;1;1;0.970252197045902
1;3.66;1;1;0.970841243010602
1;3.68;1;1;0.971418625083718
1;3.7;1;1;0.971984574225778
1;3.72;1;1;0.972539316823984
1;3.74;1;1;0.973083074782772
1;3.76;1;1;0.973616065612575
1;3.78;1;1;0.974138502516834
1;3.8;1;1;0.974650594477275
1;3.82;1;1;0.97515254633751
1;3.84;1;1;0.975522476728347
1;3.86;1;1;0.97600716416329
1;3.88;1;1;0.97648225414399
1;3.9;1;1;0.976947936712774
1;3.92;1;1;0.977291137223268
1;3.94;1;1;0.977740802833942
1;3.96;1;1;0.978181564468957
1;3.98;1;1;0.978613598438843
1;4;1;1;0.979037077562948
1;4.02;1;1;0.979452171238569
1;4.04;1;1;0.979859045508711
1;4.06;1;1;0.980257863128507
1;4.08;1;1;0.980648783630322
1;4.1;1;1;0.980936885708388
1;4.12;1;1;0.981314360662267
1;4.14;1;1;0.981684361111266
1;4.16;1;1;0.982047035060497
1;4.18;1;1;0.982402527584376
1;4.2;1;1;0.982750980884654
1;4.22;1;1;0.983092534347295
1;4.24;1;1;0.983427324598239
