r(t) - SetPoint; t - Tempo;e(t) - Erro;u(t) - Saído do Controlador;y(t) - Variável de Processo
1;0;1;1;0
1;0.02;1;1;0.0148880603969373
1;0.04;1;1;0.0343945837424335
1;0.06;1;1;0.0535148520465161
1;0.08;1;1;0.072256513671447
1;0.1;1;1;0.0906270655317685
1;0.12;1;1;0.108633856093169
1;0.14;1;1;0.126284088311965
1;0.16;1;1;0.143584822516386
1;0.18;1;1;0.160542979230792
1;0.2;1;1;0.177165341943981
1;0.22;1;1;0.193458559822673
1;0.24;1;1;0.209429150371264
1;0.26;1;1;0.225083502038919
1;0.28;1;1;0.240427876775031
1;0.3;1;1;0.25546841253409
1;0.32;1;1;0.270211125730943
1;0.34;1;1;0.28466191364744
1;0.36;1;1;0.298826556791427
1;0.38;1;1;0.312710721209028
1;0.4;1;1;0.326319960751132
1;0.42;1;1;0.339659719295017
1;0.44;1;1;0.352735332921965
1;0.46;1;1;0.365552032051771
1;0.48;1;1;0.37811494353498
1;0.5;1;1;0.39042909270369
1;0.52;1;1;0.402499405381762
1;0.54;1;1;0.414330709855206
1;0.56;1;1;0.425927738803564
1;0.58;1;1;0.437295131193044
1;0.6;1;1;0.44843743413217
1;0.62;1;1;0.459359104690683
1;0.64;1;1;0.470064511682431
1;0.66;1;1;0.480557937412951
1;0.68;1;1;0.49084357939245
1;0.7;1;1;0.500925552014864
1;0.72;1;1;0.510807888203668
1;0.74;1;1;0.520494541025106
1;0.76;1;1;0.529989385269462
1;0.78;1;1;0.539296219001034
1;0.8;1;1;0.548418765077407
1;0.82;1;1;0.557360672638648
1;0.84;1;1;0.566125518567009
1;0.86;1;1;0.574716808917725
1;0.88;1;1;0.583137980321491
1;0.9;1;1;0.5934303402594
1;0.92;1;1;0.599483373909181
1;0.940000000000001;1;1;0.607414134468481
1;0.960000000000001;1;1;0.615187855447021
1;0.980000000000001;1;1;0.622807646436843
1;1;1;1;0.630276555455941
1;1.02;1;1;0.637597570167509
1;1.04;1;1;0.644773619075048
1;1.06;1;1;0.651807572693802
1;1.08;1;1;0.658702244699006
1;1.1;1;1;0.665460393051392
1;1.12;1;1;0.672084721100411
1;1.14;1;1;0.678577878665608
1;1.16;1;1;0.684942463096586
1;1.18;1;1;0.691181020311979
1;1.2;1;1;0.697296045817856
1;1.22;1;1;0.703289985705954
1;1.24;1;1;0.709165237632148
1;1.26;1;1;0.714924151775546
1;1.28;1;1;0.720569031778592
1;1.3;1;1;0.726102135668554
1;1.32;1;1;0.731525676760763
1;1.34;1;1;0.736841824543971
1;1.36;1;1;0.742052705548174
1;1.38;1;1;0.747160404195253
1;1.4;1;1;0.753403036058393
1;1.42;1;1;0.758285983102963
1;1.44;1;1;0.763072241317878
1;1.46;1;1;0.767763725270241
1;1.48;1;1;0.773497659323531
1;1.5;1;1;0.77686983985157
1;1.52;1;1;0.781288113047785
1;1.54;1;1;0.785618898573021
1;1.56;1;1;0.789863928799235
1;1.58;1;1;0.794024901795116
1;1.6;1;1;0.798103482005344
1;1.62;1;1;0.802101300916385
1;1.64;1;1;0.806019957709107
1;1.66;1;1;0.809861019898479
1;1.68;1;1;0.813626023960589
1;1.7;1;1;0.817316475947265
1;1.72;1;1;0.820933852088506
1;1.74;1;1;0.824479599383002
1;1.76;1;1;0.827955136176949
1;1.78;1;1;0.831361852731404
1;1.8;1;1;0.834701111778413
1;1.82;1;1;0.837974249066119
1;1.84;1;1;0.841182573893079
1;1.86;1;1;0.844327369632002
1;1.88;1;1;0.847409894243116
1;1.9;1;1;0.850431380777364
1;1.92;1;1;0.853393037869649
1;1.94;1;1;0.856296050222296
1;1.96;1;1;0.859141579078954
1;1.98;1;1;0.861930762689107
1;2;1;1;0.864664716763387
1;2.02;1;1;0.867344534919878
1;2.04;1;1;0.869971289121574
1;2.06;1;1;0.873181709432005
1;2.08;1;1;0.875069787801417
1;2.1;1;1;0.877543571747018
1;2.12;1;1;0.879968371488543
1;2.14;1;1;0.88234515697822
1;2.16;1;1;0.884674878961937
1;2.18;1;1;0.88752226634571
1;2.2;1;1;0.889749474695514
1;2.22;1;1;0.89193258136517
1;2.24;1;1;0.894072459626454
1;2.26;1;1;0.896169965459202
1;2.28;1;1;0.898225937893716
1;2.3;1;1;0.900241199346381
1;2.32;1;1;0.902216555948649
1;2.34;1;1;0.904152797869501
1;2.36;1;1;0.90605069963152
1;2.38;1;1;0.907911020420719
1;2.4;1;1;0.909734504390215
1;2.42;1;1;0.911521880957913
1;2.44;1;1;0.913273865098269
1;2.46;1;1;0.9149911576283
1;2.48;1;1;0.916674445487917
1;2.5;1;1;0.918324402014706
1;2.52;1;1;0.919941687213279
1;2.54;1;1;0.921526948019279
1;2.56;1;1;0.923080818558165
1;2.58;1;1;0.924603920398872
1;2.6;1;1;0.926096862802444
1;2.62;1;1;0.927560242965748
1;2.64;1;1;0.928994646260363
1;2.66;1;1;0.930400646466731
1;2.68;1;1;0.931778806003682
1;2.7;1;1;0.933129676153406
1;2.72;1;1;0.934780710331872
1;2.74;1;1;0.935751699055497
1;2.76;1;1;0.937023900651985
1;2.78;1;1;0.938270910969041
1;2.8;1;1;0.939493228827419
1;2.82;1;1;0.940987146330552
1;2.84;1;1;0.941865733260178
1;2.86;1;1;0.943016868867966
1;2.88;1;1;0.944145210463515
1;2.9;1;1;0.945251209398509
1;2.92;1;1;0.946602961854803
1;2.94;1;1;0.947660294051567
1;2.96;1;1;0.948696689668081
1;2.98;1;1;0.949712563276408
1;3;1;1;0.950708321239538
1;3.02;1;1;0.951684361873932
1;3.04;1;1;0.952641075608859
1;3.06;1;1;0.953578845142569
1;3.08;1;1;0.954498045595378
1;3.1;1;1;0.955399044659725
1;3.12;1;1;0.956282202747249
1;3.14;1;1;0.95714787313296
1;3.16;1;1;0.957996402096554
1;3.18;1;1;0.958828129060932
1;3.2;1;1;0.959643386727969
1;3.22;1;1;0.960442501211601
1;3.24;1;1;0.961225792168278
1;3.26;1;1;0.961993572924826
1;3.28;1;1;0.962746150603784
1;3.3;1;1;0.96348382624626
1;3.32;1;1;0.964206894932345
1;3.34;1;1;0.964915645899155
1;3.36;1;1;0.965610362656527
1;3.38;1;1;0.966291323100427
1;3.4;1;1;0.966958799624113
1;3.42;1;1;0.967613059227093
1;3.44;1;1;0.968254363621932
1;3.46;1;1;0.968882969338939
1;3.48;1;1;0.969499127828782
1;3.5;1;1;0.970103085563073
1;3.52;1;1;0.970695084132959
1;3.54;1;1;0.971418625083718
1;3.56;1;1;0.971984574225778
1;3.58;1;1;0.972539316823984
1;3.6;1;1;0.972948153133649
1;3.62;1;1;0.973616065612575
1;3.64;1;1;0.974138502516834
1;3.66;1;1;0.974650594477275
1;3.68;1;1;0.97515254633751
1;3.7;1;1;0.975644558884976
1;3.72;1;1;0.976126828931253
1;3.74;1;1;0.976599549390789
1;3.76;1;1;0.977062909358071
1;3.78;1;1;0.977517094183264
1;3.8;1;1;0.977962285546355
1;3.82;1;1;0.978290384370151
1;3.84;1;1;0.978720263561622
1;3.86;1;1;0.979141630574785
1;3.88;1;1;0.979554653962062
1;3.9;1;1;0.979959498938316
1;3.92;1;1;0.980356327446934
1;3.94;1;1;0.980745298224613
1;3.96;1;1;0.981220698505315
1;3.98;1;1;0.981592553589283
1;4;1;1;0.981866604763199
1;4.02;1;1;0.98231431988682
1;4.04;1;1;0.982664519816534
1;4.06;1;1;0.983007785323031
1;4.08;1;1;0.983344253717091
1;4.1;1;1;0.983674059590559
1;4.12;1;1;0.983997334870181
1;4.14;1;1;0.984314208870379
1;4.16;1;1;0.984624808344979
1;4.18;1;1;0.984929257537911
1;4.2;1;1;0.985227678232912
1;4.22;1;1;0.98552018980224
1;4.24;1;1;0.985806909254422
1;4.26;1;1;0.986087951281062
1;4.28;1;1;0.986363428302719
1;4.3;1;1;0.986633450513872
1;4.32;1;1;0.986898125927008
1;4.34;1;1;0.987157560415821
1;4.36;1;1;0.987411857757566
1;4.37999999999999;1;1;0.987661119674569
1;4.39999999999999;1;1;0.987905445874922
1;4.41999999999999;1;1;0.988144934092362
1;4.43999999999999;1;1;0.988379680125369
1;4.45999999999999;1;1;0.988609777875487
1;4.47999999999999;1;1;0.988835319384883
1;4.49999999999999;1;1;0.989056394873168
1;4.51999999999999;1;1;0.989273092773487
1;4.53999999999999;1;1;0.989485499767887
1;4.55999999999999;1;1;0.989693700821999
1;4.57999999999999;1;1;0.989948164255366
1;4.59999999999999;1;1;0.990147203938813
1;4.61999999999999;1;1;0.990342302372462
1;4.63999999999999;1;1;0.99053353759829
1;4.65999999999999;1;1;0.990720986112935
1;4.67999999999999;1;1;0.990904722898304
1;4.69999999999999;1;1;0.99108482145156
1;4.71999999999999;1;1;0.991261353814527
1;4.73999999999999;1;1;0.991434390602502
1;4.75999999999999;1;1;0.991604001032509
1;4.77999999999999;1;1;0.99177025295098
1;4.79999999999999;1;1;0.9919332128609
1;4.81999999999999;1;1;0.992092945948407
1;4.83999999999998;1;1;0.992249516108863
1;4.85999999999998;1;1;0.992402985972422
1;4.87999999999998;1;1;0.992553416929076
1;4.89999999999998;1;1;0.992700869153212
1;4.91999999999998;1;1;0.992845401627686
1;4.93999999999998;1;1;0.992987072167415
1;4.95999999999998;1;1;0.993125937442504
1;4.97999999999998;1;1;0.993262053000915
1;4.99999999999998;1;1;0.993428413505071
1;5.01999999999998;1;1;0.993526251681711
1;5.03999999999998;1;1;0.993654440487091
1;5.05999999999998;1;1;0.993780090984058
1;5.07999999999998;1;1;0.993903253434484
1;5.09999999999998;1;1;0.994023977104994
1;5.11999999999998;1;1;0.994142310286664
1;5.13999999999998;1;1;0.994258300314346
1;5.15999999999998;1;1;0.994371993585596
1;5.17999999999998;1;1;0.994483435579239
1;5.19999999999998;1;1;0.994592670873559
1;5.21999999999998;1;1;0.994699743164129
1;5.23999999999998;1;1;0.994804695281295
1;5.25999999999998;1;1;0.994958239740309
1;5.27999999999998;1;1;0.99500840609309
1;5.29999999999998;1;1;0.99510724627476
1;5.31999999999997;1;1;0.99522804879466
1;5.33999999999997;1;1;0.995322539759442
1;5.35999999999997;1;1;0.99541515967776
1;5.37999999999997;1;1;0.995505945598817
1;5.39999999999997;1;1;0.995572853352169
1;5.41999999999997;1;1;0.995660516729261
1;5.43999999999997;1;1;0.995767658952967
1;5.45999999999997;1;1;0.995830670302096
1;5.47999999999997;1;1;0.995913228561536
1;5.49999999999997;1;1;0.99599415205791
1;5.51999999999997;1;1;0.996073473161694
1;5.53999999999997;1;1;0.996151223602389
1;5.55999999999997;1;1;0.996227434481208
1;5.57999999999997;1;1;0.996302136283517
1;5.59999999999997;1;1;0.996375358891034
1;5.61999999999997;1;1;0.996447131593779
1;5.63999999999997;1;1;0.996517483101788
1;5.65999999999997;1;1;0.996586441556604
1;5.67999999999997;1;1;0.996654034542529
1;5.69999999999997;1;1;0.996720289097656
1;5.71999999999997;1;1;0.996785231724693
1;5.73999999999997;1;1;0.996848888401555
1;5.75999999999997;1;1;0.996911284591763
1;5.77999999999996;1;1;0.996972445254624
1;5.79999999999996;1;1;0.997032394855219
1;5.81999999999996;1;1;0.997091157374187
1;5.83999999999996;1;1;0.99714875631732
1;5.85999999999996;1;1;0.997205214724963
1;5.87999999999996;1;1;0.997260555181231
1;5.89999999999996;1;1;0.997314799823046
1;5.91999999999996;1;1;0.997367970348987
1;5.93999999999996;1;1;0.997420088027973
1;5.95999999999996;1;1;0.997471173707771
1;5.97999999999996;1;1;0.997521247823334
1;5.99999999999996;1;1;0.997570330404975
1;6.01999999999996;1;1;0.997618441086383
1;6.03999999999996;1;1;0.997665599112471
1;6.05999999999996;1;1;0.997711823347078
1;6.07999999999996;1;1;0.997757132280514
1;6.09999999999996;1;1;0.997801544036957
1;6.11999999999996;1;1;0.997845076381702
1;6.13999999999996;1;1;0.997887746728267
1;6.15999999999996;1;1;0.997929572145359
1;6.17999999999996;1;1;0.997970569363704
1;6.19999999999996;1;1;0.998010754782735
1;6.21999999999996;1;1;0.998050144477155
1;6.23999999999995;1;1;0.998088754203367
1;6.25999999999995;1;1;0.998126599405777
1;6.27999999999995;1;1;0.998163695222971
1;6.29999999999995;1;1;0.998200056493769
1;6.31999999999995;1;1;0.998235697763165
