r(t) - SetPoint; t - Tempo;e(t) - Erro;u(t) - Saído do Controlador;y(t) - Variável de Processo
1;0;1;1;0.853294379853916
1;0.02;1;1;0.85758649754556
1;0.04;1;1;0.867861046576588
1;0.06;1;1;0.875553484236146
1;0.08;1;1;0.885792135203823
1;0.1;1;1;0.896010329333221
1;0.12;1;1;0.906208107497131
1;0.14;1;1;0.916385510486679
1;0.16;1;1;0.926542579011491
1;0.18;1;1;0.936679353699855
1;0.2;1;1;0.946795875098882
1;0.22;1;1;0.956892183674672
1;0.24;1;1;0.966968319812473
1;0.26;1;1;0.974512208002133
1;0.28;1;1;0.984553139307845
1;0.3;1;1;0.994574008819428
1;0.32;1;1;1.00457485662037
1;0.34;1;1;1.01455572271408
1;0.36;1;1;1.02451664702404
1;0.38;1;1;1.03445766939394
1;0.4;1;1;1.04437882958791
1;0.42;1;1;1.05428016729058
1;0.44;1;1;1.06169318588576
1;0.46;1;1;1.07155992948148
1;0.48;1;1;1.08140695931034
1;0.5;1;1;1.09123431476049
1;0.52;1;1;1.10104203514134
1;0.54;1;1;1.10838496351555
1;0.56;1;1;1.11815841687734
1;0.58;1;1;1.12791234286629
1;0.6;1;1;1.13764678049811
1;0.62;1;1;1.14736176871057
1;0.64;1;1;1.15705734636364
1;0.66;1;1;1.16673355223963
1;0.68;1;1;1.17639042504339
1;0.7;1;1;1.18602800340242
1;0.72;1;1;1.19564632586704
1;0.74;1;1;1.20524543091056
1;0.76;1;1;1.21482535692942
1;0.78;1;1;1.22438614224331
1;0.8;1;1;1.23154419314963
1;0.82;1;1;1.24107157420649
1;0.84;1;1;1.25057991954329
1;0.86;1;1;1.26006926719343
1;0.88;1;1;1.26953965511433
1;0.9;1;1;1.27899112118754
1;0.92;1;1;1.28842370321894
1;0.940000000000001;1;1;1.29783743893887
1;0.960000000000001;1;1;1.30723236600229
1;0.980000000000001;1;1;1.31660852198891
1;1;1;1;1.32362834302393
1;1.02;1;1;1.33297173982662
1;1.04;1;1;1.34229646851004
1;1.06;1;1;1.35160256637312
1;1.08;1;1;1.36089007064027
1;1.1;1;1;1.37015901846152
1;1.12;1;1;1.37940944691267
1;1.14;1;1;1.38864139299545
1;1.16;1;1;1.39555324572044
1;1.18;1;1;1.40475293647168
1;1.2;1;1;1.41393424622854
1;1.22;1;1;1.42309721171628
1;1.24;1;1;1.43224186958676
1;1.26;1;1;1.44136825641862
1;1.28;1;1;1.45047640871743
1;1.3;1;1;1.45956636291582
1;1.32;1;1;1.46863815537359
1;1.34;1;1;1.47769182237795
