r(t) - SetPoint; t - Tempo;e(t) - Erro;u(t) - Saído do Controlador;y(t) - Variável de Processo
1;0;1;1;0
1;0.02;1;1;0.00299925012498425
1;0.04;1;1;0.0149812656152386
1;0.06;1;1;0.0269393410225755
1;0.08;1;1;0.0388735241793123
1;0.1;1;1;0.0507838628221977
1;0.12;1;1;0.0597009975049893
1;0.14;1;1;0.0715697228284139
1;0.16;1;1;0.0834147344228252
1;0.18;1;1;0.0952360796682854
1;0.2;1;1;0.107033805850191
1;0.22;1;1;0.118807960159463
1;0.24;1;1;0.130558589692734
1;0.26;1;1;0.142285741452538
1;0.28;1;1;0.153989462347498
1;0.3;1;1;0.165669799192512
1;0.32;1;1;0.177326798708944
1;0.34;1;1;0.188960507524807
1;0.36;1;1;0.200570972174952
1;0.38;1;1;0.209263594619989
1;0.4;1;1;0.220833493675061
1;0.42;1;1;0.232380276056401
1;0.44;1;1;0.243903987951156
1;0.46;1;1;0.255404675454188
1;0.48;1;1;0.266882384568263
1;0.5;1;1;0.278337161204231
1;0.52;1;1;0.289769051181215
1;0.54;1;1;0.301178100226791
1;0.56;1;1;0.312564353977169
1;0.58;1;1;0.323927857977379
1;0.6;1;1;0.335268657681454
1;0.62;1;1;0.346586798452606
1;0.64;1;1;0.355060561343928
1;0.66;1;1;0.366339157865186
1;0.68;1;1;0.377595219735565
1;0.7;1;1;0.388828791979326
1;0.72;1;1;0.400039919530773
1;0.74;1;1;0.411228647234431
1;0.76;1;1;0.422395019845227
1;0.78;1;1;0.433539082028666
1;0.8;1;1;0.44466087836101
1;0.82;1;1;0.455760453329462
1;0.84;1;1;0.466837851332334
1;0.86;1;1;0.477893116679233
1;0.88;1;1;0.486170067738991
1;0.9;1;1;0.497186707291747
1;0.92;1;1;0.508181335583995
1;0.940000000000001;1;1;0.519153996594263
1;0.960000000000001;1;1;0.530104734213209
1;0.980000000000001;1;1;0.541033592243799
1;1;1;1;0.55194061440148
1;1.02;1;1;0.562825844314354
1;1.04;1;1;0.573689325523356
1;1.06;1;1;0.584531101482424
1;1.08;1;1;0.595351215558678
1;1.1;1;1;0.606149711032588
1;1.12;1;1;0.616926631098151
1;1.14;1;1;0.624995188220807
1;1.16;1;1;0.635734454997832
1;1.18;1;1;0.646452264705526
1;1.2;1;1;0.65714866021514
1;1.22;1;1;0.66782368431227
1;1.24;1;1;0.678477379697029
1;1.26;1;1;0.689109788984211
1;1.28;1;1;0.699720954703468
1;1.3;1;1;0.710310919299477
1;1.32;1;1;0.72087972513211
1;1.34;1;1;0.731427414476604
1;1.36;1;1;0.741954029523732
1;1.38;1;1;0.752459612379967
1;1.4;1;1;0.762944205067655
1;1.42;1;1;0.773407849525181
1;1.44;1;1;0.781241860773579
1;1.46;1;1;0.79166894649062
1;1.48;1;1;0.802075198876502
1;1.5;1;1;0.812460659556249
1;1.52;1;1;0.822825370071717
1;1.54;1;1;0.833169371881763
1;1.56;1;1;0.843492706362407
1;1.58;1;1;0.853795414807001
1;1.6;1;1;0.864077538426393
1;1.62;1;1;0.874339118349091
1;1.64;1;1;0.884580195621428
1;1.66;1;1;0.894800811207726
1;1.68;1;1;0.905001005990463
1;1.7;1;1;0.912637775472471
1;1.72;1;1;0.922802331976836
1;1.74;1;1;0.932946579683759
1;1.76;1;1;0.943070559170246
1;1.78;1;1;0.953174310932226
1;1.8;1;1;0.96325787538472
1;1.82;1;1;0.970807325068858
1;1.84;1;1;0.980855658735609
1;1.86;1;1;0.990883915818302
1;1.88;1;1;0.998391957505551
1;1.9;1;1;1.00838517703993
1;1.92;1;1;1.01586698651443
1;1.94;1;1;1.02582529091756
1;1.96;1;1;1.03576369861522
1;1.98;1;1;1.04568224936106
1;2;1;1;1.0555809828293
1;2.02;1;1;1.06545993861487
1;2.04;1;1;1.07285620012401
1;2.06;1;1;1.08270064000241
1;2.08;1;1;1.0925254106768
1;2.1;1;1;1.1023305514463
1;2.12;1;1;1.10967154849491
1;2.14;1;1;1.11944243125819
1;2.16;1;1;1.1291937917847
1;2.18;1;1;1.13892566907987
1;2.2;1;1;1.14621181460096
1;2.22;1;1;1.15590968986387
1;2.24;1;1;1.16558818875908
1;2.26;1;1;1.1752473500006
1;2.28;1;1;1.18729416683018
1;2.3;1;1;1.194507813992
1;2.32;1;1;1.20410919378377
1;2.34;1;1;1.21129763731261
1;2.36;1;1;1.220865471015
1;2.38;1;1;1.23041418817291
1;2.4;1;1;1.23994382698121
1;2.42;1;1;1.24945442555847
1;2.44;1;1;1.2589460219471
1;2.46;1;1;1.26841865411349
1;2.48;1;1;1.2778723599482
1;2.5;1;1;1.28730717726604
1;2.52;1;1;1.29672314380632
1;2.54;1;1;1.30612029723289
1;2.56;1;1;1.3154986751344
1;2.58;1;1;1.32485831502436
1;2.6;1;1;1.33186577064621
1;2.62;1;1;1.34119270905753
1;2.64;1;1;1.35050101223347
1;2.66;1;1;1.35979071740726
1;2.68;1;1;1.36906186173773
1;2.7;1;1;1.37831448230948
1;2.72;1;1;1.38754861613299
1;2.74;1;1;1.39676430014482
1;2.76;1;1;1.40596157120771
1;2.78;1;1;1.41514046611076
1;2.8;1;1;1.42430102156956
1;2.82;1;1;1.43115942494872
1;2.84;1;1;1.44028797450641
1;2.86;1;1;1.44939828520993
1;2.88;1;1;1.45849039350051
1;2.9;1;1;1.46756433574662
1;2.92;1;1;1.47662014824402
1;2.94;1;1;1.48565786721599
1;2.96;1;1;1.49467752881341
1;2.98;1;1;1.50367916911493
1;3;1;1;1.51266282412714
1;3.02;1;1;1.52162852978466
1;3.04;1;1;1.53057632195032
1;3.06;1;1;1.53950623641532
1;3.08;1;1;1.54841830889932
1;3.1;1;1;1.55731257505061
1;3.12;1;1;1.56618907044628
1;3.14;1;1;1.5728348012964
1;3.16;1;1;1.58168028326334
1;3.18;1;1;1.59050809194553
1;3.2;1;1;1.59931826265421
1;3.22;1;1;1.60811083063007
1;3.24;1;1;1.6168858310434
1;3.26;1;1;1.6256432989942
1;3.28;1;1;1.63438326951237
1;3.3;1;1;1.6431057775578
1;3.32;1;1;1.65181085802053
1;3.34;1;1;1.66049854572089
1;3.36;1;1;1.66916887540965
1;3.38;1;1;1.67782188176813
1;3.4;1;1;1.68430028892541
1;3.42;1;1;1.69292306269953
1;3.44;1;1;1.70152860816016
1;3.46;1;1;1.71011695972948
1;3.48;1;1;1.71868815176093
1;3.5;1;1;1.72724221853927
1;3.52;1;1;1.73577919428079
1;3.54;1;1;1.7442991131334
1;3.56;1;1;1.7528020091768
1;3.58;1;1;1.76128791642256
1;3.6;1;1;1.76975686881434
1;3.62;1;1;1.77820890022795
1;3.64;1;1;1.78453683973649
1;3.66;1;1;1.79295934074851
1;3.68;1;1;1.80136501359227
1;3.7;1;1;1.8097538918905
1;3.72;1;1;1.8181260091987
1;3.74;1;1;1.82648139900537
1;3.76;1;1;1.83482009473207
1;3.78;1;1;1.84314212973359
1;3.8;1;1;1.85144753729809
1;3.82;1;1;1.8597363506472
1;3.84;1;1;1.8680086029362
1;3.86;1;1;1.8762643272541
1;3.88;1;1;1.88450355662382
1;3.9;1;1;1.89067217366948
1;3.92;1;1;1.89888261614285
1;3.94;1;1;1.90707665414122
1;3.96;1;1;1.91525432044075
