r(t) - SetPoint; t - Tempo;e(t) - Erro;u(t) - Saído do Controlador;y(t) - Variável de Processo
1;0;1;1;0
1;0.02;1;1;0
1;0.04;1;1;0
1;0.06;1;1;0
1;0.08;1;1;0
1;0.1;1;1;0
1;0.12;1;1;0.00599700099974981
1;0.14;1;1;0.0149812656152386
1;0.16;1;1;0.0269393410225755
1;0.18;1;1;0.0388735241793123
1;0.2;1;1;0.0507838628221977
1;0.22;1;1;0.0626704045926021
1;0.24;1;1;0.0745331970367084
1;0.26;1;1;0.0863722876057023
1;0.28;1;1;0.0981877236559617
1;0.3;1;1;0.109979552449247
1;0.32;1;1;0.121747821152888
1;0.34;1;1;0.133492576839976
1;0.36;1;1;0.14521386648955
1;0.38;1;1;0.156911736986783
1;0.4;1;1;0.168586235123174
1;0.42;1;1;0.18023740759673
1;0.44;1;1;0.191865301012156
1;0.46;1;1;0.203469961881042
1;0.48;1;1;0.215051436622047
1;0.5;1;1;0.226609771561086
1;0.52;1;1;0.235263365086051
1;0.54;1;1;0.246781316565083
1;0.56;1;1;0.25827625516171
1;0.58;1;1;0.269748226855701
1;0.6;1;1;0.28119727753496
1;0.62;1;1;0.292623452995704
1;0.64;1;1;0.30402679894265
1;0.66;1;1;0.315407360989198
1;0.68;1;1;0.32676518465761
1;0.7;1;1;0.340930557601987
1;0.72;1;1;0.349412798494494
1;0.74;1;1;0.360702679253452
1;0.76;1;1;0.371970002815609
1;0.78;1;1;0.383214814250272
1;0.8;1;1;0.394437158536703
1;0.82;1;1;0.405637080564295
1;0.84;1;1;0.416814625132749
1;0.86;1;1;0.42796983695226
1;0.88;1;1;0.43910276064369
1;0.9;1;1;0.450213440738747
1;0.92;1;1;0.461301921680167
1;0.940000000000001;1;1;0.475131372859154
1;0.960000000000001;1;1;0.483412463429233
1;0.980000000000001;1;1;0.491681141675028
1;1;1;1;0.502686770094715
1;1.02;1;1;0.513670409254153
1;1.04;1;1;0.524632103087913
1;1.06;1;1;0.535571895442784
1;1.08;1;1;0.546489830077952
1;1.1;1;1;0.557385950665168
1;1.12;1;1;0.568260300788931
1;1.14;1;1;0.579112923946654
1;1.16;1;1;0.589943863548845
1;1.18;1;1;0.600753162919277
1;1.2;1;1;0.611540865295161
1;1.22;1;1;0.622307013827322
1;1.24;1;1;0.635734454997832
1;1.26;1;1;0.643774821532865
1;1.28;1;1;0.654476566577506
1;1.3;1;1;0.665156929521286
1;1.32;1;1;0.675815953085671
1;1.34;1;1;0.68645367990677
1;1.36;1;1;0.697070152535503
1;1.38;1;1;0.707665413437776
1;1.4;1;1;0.718239504994646
1;1.42;1;1;0.728792469502494
1;1.44;1;1;0.739324349173192
1;1.46;1;1;0.749835186134272
1;1.48;1;1;0.760325022429096
1;1.5;1;1;0.770793900017024
1;1.52;1;1;0.781241860773579
1;1.54;1;1;0.79166894649062
1;1.56;1;1;0.802075198876502
1;1.58;1;1;0.812460659556249
1;1.6;1;1;0.825413310347697
1;1.62;1;1;0.835752141449622
1;1.64;1;1;0.846070315553228
