r(t) - SetPoint; t - Tempo;e(t) - Erro;u(t) - Saído do Controlador;y(t) - Variável de Processo
1;0;1;1;1.22284499651035E-05
1;0.02;1;1;0.00023657514806792
1;0.04;1;1;0.001229689707288
1;0.06;1;1;0.00300790406144844
1;0.08;1;1;0.00556199094915261
1;0.1;1;1;0.00798087482085788
1;0.12;1;1;0.0118689615048018
1;0.14;1;1;0.0165048740924838
1;0.16;1;1;0.0218774815897669
1;0.18;1;1;0.0279751773779036
1;0.2;1;1;0.0347858931844868
1;0.22;1;1;0.0422971132828456
1;0.24;1;1;0.0504958889063104
1;0.26;1;1;0.057088153051741
1;0.28;1;1;0.0664577426754416
1;0.3;1;1;0.07647716583829
1;0.32;1;1;0.0871319815261308
1;0.34;1;1;0.0984073866681176
1;0.36;1;1;0.110288231521893
1;0.38;1;1;0.122759035181619
1;0.4;1;1;0.135804001195296
1;0.42;1;1;0.149407033277846
1;0.44;1;1;0.163551751106507
1;0.46;1;1;0.178221506185135
1;0.48;1;1;0.189558220366437
1;0.5;1;1;0.2051059804588
1;0.52;1;1;0.221131741783229
1;0.54;1;1;0.237617992279264
1;0.56;1;1;0.254547027603287
1;0.58;1;1;0.267523631504951
1;0.6;1;1;0.285184418006596
1;0.62;1;1;0.303238441524352
1;0.64;1;1;0.321667418999749
1;0.66;1;1;0.340452950845347
1;0.68;1;1;0.354764962784299
1;0.7;1;1;0.374129896683456
1;0.72;1;1;0.388855092213983
1;0.74;1;1;0.40874235507447
1;0.76;1;1;0.42890235393664
1;0.78;1;1;0.449316328474523
1;0.8;1;1;0.469965502875971
1;0.82;1;1;0.49083110094155
1;0.84;1;1;0.511894361033503
1;0.86;1;1;0.533136550864374
1;0.88;1;1;0.554538982115127
1;0.9;1;1;0.570684754329134
1;0.92;1;1;0.592322823012215
1;0.940000000000001;1;1;0.614070084135752
1;0.960000000000001;1;1;0.635908141261757
1;0.980000000000001;1;1;0.65781870872985
1;1;1;1;0.679783625109663
1;1.02;1;1;0.701784866420507
1;1.04;1;1;0.723804559110095
1;1.06;1;1;0.745824992784397
1;1.08;1;1;0.767828632680952
1;1.1;1;1;0.789798131878278
1;1.12;1;1;0.811716343234287
1;1.14;1;1;0.833566331046885
1;1.16;1;1;0.85533138243026
1;1.18;1;1;0.87158950919725
1;1.2;1;1;0.893166416074637
1;1.22;1;1;0.914613664425878
1;1.24;1;1;0.935915473218049
1;1.26;1;1;0.957056334206232
1;1.28;1;1;0.978021021563173
1;1.3;1;1;0.998794601188337
1;1.32;1;1;1.01424055700776
1;1.34;1;1;1.03464467229576
1;1.36;1;1;1.05481818746297
1;1.38;1;1;1.07474733970309
1;1.4;1;1;1.09441869765518
1;1.42;1;1;1.11381916879659
1;1.44;1;1;1.13293600649256
1;1.46;1;1;1.15175681670044
1;1.48;1;1;1.17026956432643
1;1.5;1;1;1.18846257923353
1;1.52;1;1;1.20632456189902
1;1.54;1;1;1.22384458872086
