r(t) - SetPoint; t - Tempo;e(t) - Erro;u(t) - Saído do Controlador;y(t) - Variável de Processo
1;0;1;1;0
1;0.02;1;1;9.98318781322438E-05
1;0.04;1;1;0.000895382639521597
1;0.06;1;1;0.00247826508361676
1;0.08;1;1;0.00483938521779964
1;0.1;1;1;0.00796912008993665
1;0.12;1;1;0.0118573307111011
1;0.14;1;1;0.0164933752604569
1;0.16;1;1;0.0218661225589863
1;0.18;1;1;0.0279639657986604
1;0.2;1;1;0.034774836513585
1;0.22;1;1;0.0442720111259468
1;0.24;1;1;0.0504851636287011
1;0.26;1;1;0.0593583036648419
1;0.28;1;1;0.0688918678671983
1;0.3;1;1;0.0790716965675265
1;0.32;1;1;0.0898832565877952
1;0.34;1;1;0.101311656524501
1;0.36;1;1;0.113341662166038
1;0.38;1;1;0.125957712029519
1;0.4;1;1;0.139143933003505
1;0.42;1;1;0.152884156083122
1;0.44;1;1;0.167161932184137
1;0.46;1;1;0.181960548022614
1;0.48;1;1;0.197263042046848
1;0.5;1;1;0.213052220408396
1;0.52;1;1;0.229310672959087
1;0.54;1;1;0.246020789261024
1;0.56;1;1;0.263164774596711
1;0.58;1;1;0.28072466596655
1;0.6;1;1;0.298682348061113
1;0.62;1;1;0.317019569195713
1;0.64;1;1;0.335717957194978
1;0.66;1;1;0.354759035215272
1;0.68;1;1;0.379013999604284
1;0.7;1;1;0.393794925006968
1;0.72;1;1;0.418784385496653
1;0.74;1;1;0.439073992048711
1;0.76;1;1;0.459608188438967
1;0.78;1;1;0.480368196554105
1;0.8;1;1;0.501335245389002
1;0.82;1;1;0.52249058591698
1;0.84;1;1;0.543815505794592
1;0.86;1;1;0.565291343890901
1;0.88;1;1;0.586899504631422
1;0.9;1;1;0.60862147214717
1;0.92;1;1;0.630438824219463
1;0.940000000000001;1;1;0.652333246011443
1;0.960000000000001;1;1;0.668793689642509
1;0.980000000000001;1;1;0.690779284481386
1;1;1;1;0.712792246389583
1;1.02;1;1;0.734814781617896
1;1.04;1;1;0.756829265847906
1;1.06;1;1;0.784309495079046
1;1.08;1;1;0.800764504980098
1;1.1;1;1;0.828111265757793
1;1.12;1;1;0.849899362430573
1;1.14;1;1;0.871590138057778
1;1.16;1;1;0.893167296005145
1;1.18;1;1;0.91461479222779
1;1.2;1;1;0.935916845527318
1;1.22;1;1;0.957057947497664
1;1.24;1;1;0.97802287215484
1;1.26;1;1;0.998796685246064
1;1.28;1;1;1.01936475323406
1;1.3;1;1;1.03971275195261
1;1.32;1;1;1.05982667492969
1;1.34;1;1;1.07969284137503
1;1.36;1;1;1.0992979038288
1;1.38;1;1;1.11862885546903
1;1.4;1;1;1.1376730370751
1;1.42;1;1;1.15641814364526
1;1.44;1;1;1.17485223066645
1;1.46;1;1;1.19296372003466
1;1.48;1;1;1.21074140562485
1;1.5;1;1;1.22817445850933
1;1.52;1;1;1.24525243182396
1;1.54;1;1;1.26196526528185
1;1.56;1;1;1.27830328933446
1;1.58;1;1;1.29425722898023
1;1.6;1;1;1.30981820722133
1;1.62;1;1;1.32497774816918
1;1.64;1;1;1.33972777979984
1;1.66;1;1;1.3575778074187
1;1.68;1;1;1.37137903741058
1;1.7;1;1;1.38474733992404
1;1.72;1;1;1.39767638202229
1;1.74;1;1;1.4101602434161
1;1.76;1;1;1.42219341707026
1;1.78;1;1;1.43377080947498
1;1.8;1;1;1.44488774058551
1;1.82;1;1;1.45553994343318
1;1.84;1;1;1.4657235634116
1;1.86;1;1;1.47543515724169
1;1.88;1;1;1.48467169161959
1;1.9;1;1;1.49343054155176
1;1.92;1;1;1.50170948838163
1;1.94;1;1;1.50950671751237
1;1.96;1;1;1.51682081583086
1;1.98;1;1;1.52365076883759
1;2;1;1;1.52999595748792
1;2.02;1;1;1.53585615474993
1;2.04;1;1;1.54123152188459
1;2.06;1;1;1.54612260445379
1;2.08;1;1;1.55053032806223
1;2.1;1;1;1.55445599383923
1;2.12;1;1;1.55790127366649
1;2.14;1;1;1.56086820515835
1;2.16;1;1;1.56335918640078
1;2.18;1;1;1.56537697045588
1;2.2;1;1;1.56692465963846
1;2.22;1;1;1.56800569957162
1;2.24;1;1;1.56862387302817
1;2.26;1;1;1.56878329356501
1;2.28;1;1;1.56848839895756
1;2.3;1;1;1.5677439444414
1;2.32;1;1;1.56618892902233
1;2.34;1;1;1.56445194787816
1;2.36;1;1;1.56228296868062
1;2.38;1;1;1.55968801630336
1;2.4;1;1;1.55667339472923
1;2.42;1;1;1.55324567925542
1;2.44;1;1;1.5494117085601
1;2.46;1;1;1.54517857663849
1;2.48;1;1;1.54055362461581
1;2.5;1;1;1.53554443244512
1;2.52;1;1;1.53015881049753
1;2.54;1;1;1.52440479105281
1;2.56;1;1;1.51829061969798
1;2.58;1;1;1.51182474664167
1;2.6;1;1;1.50501581795211
1;2.62;1;1;1.49787266672637
1;2.64;1;1;1.49040430419856
1;2.66;1;1;1.48261991079479
1;2.68;1;1;1.47452882714242
1;2.7;1;1;1.46614054504124
1;2.72;1;1;1.45746469840421
1;2.74;1;1;1.44851105417519
1;2.76;1;1;1.43928950323116
1;2.78;1;1;1.42981005127632
1;2.8;1;1;1.42008280973541
1;2.82;1;1;1.41011798665345
1;2.84;1;1;1.39992587760919
1;2.86;1;1;1.38951685664923
1;2.88;1;1;1.37890136724996
1;2.9;1;1;1.3680899133141
1;2.92;1;1;1.35709305020878
1;2.94;1;1;1.34592137585179
1;2.96;1;1;1.33458552185267
1;2.98;1;1;1.32309614471517
1;3;1;1;1.31146391710735
1;3.02;1;1;1.29969951920575
1;3.04;1;1;1.28482442551908
1;3.06;1;1;1.2728016745898
1;3.08;1;1;1.2606814127463
1;3.1;1;1;1.24847425748486
1;3.12;1;1;1.23619078981959
1;3.14;1;1;1.22384154622339
