r(t) - SetPoint; t - Tempo;e(t) - Erro;u(t) - Saído do Controlador;y(t) - Variável de Processo
1;0;1;1;0
1;0.02;1;1;0
1;0.04;1;1;0.0107930864515743
1;0.06;1;1;0.0237604391958575
1;0.08;1;1;0.0481000581736071
1;0.1;1;1;0.0711724017645648
1;0.12;1;1;0.0979697441331201
1;0.14;1;1;0.138866659985198
1;0.16;1;1;0.184888262666676
1;0.18;1;1;0.235198627322299
1;0.2;1;1;0.288984915424931
1;0.22;1;1;0.345463405056848
1;0.24;1;1;0.403884777970134
1;0.26;1;1;0.448546919591045
1;0.28;1;1;0.508684635109782
1;0.3;1;1;0.568916575307231
1;0.32;1;1;0.6286571215607
1;0.34;1;1;0.68737039833335
1;0.36;1;1;0.744571594462878
1;0.38;1;1;0.78621774621693
1;0.4;1;1;0.839762124127414
1;0.42;1;1;0.890728491066907
1;0.44;1;1;0.938825651870707
1;0.46;1;1;0.983812350935081
1;0.48;1;1;1.0254957493266
1;0.5;1;1;1.06372955405812
1;0.52;1;1;1.09841184423771
1;0.54;1;1;1.12948263827025
1;0.56;1;1;1.15692124538146
1;0.58;1;1;1.18074344347815
1;0.6;1;1;1.20099852379621
1;0.62;1;1;1.21776624095673
1;0.64;1;1;1.23115370498978
1;0.66;1;1;1.23905419484195
1;0.68;1;1;1.24685504731931
1;0.7;1;1;1.25168572813489
1;0.72;1;1;1.25372820855961
1;0.74;1;1;1.25317724280728
1;0.76;1;1;1.25023751511738
1;0.78;1;1;1.24512091082787
1;0.8;1;1;1.23804392810977
1;0.82;1;1;1.22922524440255
1;0.84;1;1;1.21888344902443
1;0.86;1;1;1.20723495095417
1;0.88;1;1;1.19449206840684
1;0.9;1;1;1.18086130457124
1;0.92;1;1;1.17017567762665
1;0.940000000000001;1;1;1.15546514469963
1;0.960000000000001;1;1;1.14039276477708
1;0.980000000000001;1;1;1.12513108977542
1;1;1;1;1.10984122288612
1;1.02;1;1;1.09467215180991
1;1.04;1;1;1.0797602495928
1;1.06;1;1;1.06522893497128
1;1.08;1;1;1.05118848322452
1;1.1;1;1;1.03773597777837
1;1.12;1;1;1.02495539220436
1;1.14;1;1;1.01291779180103
1;1.16;1;1;1.00441280981538
1;1.18;1;1;0.993808768340411
1;1.2;1;1;0.984079455318904
1;1.22;1;1;0.97525104368796
1;1.24;1;1;0.967339043251728
1;1.26;1;1;0.960348971569886
1;1.28;1;1;0.954277069215806
1;1.3;1;1;0.949111049124866
1;1.32;1;1;0.944830870216358
1;1.34;1;1;0.941409525994081
1;1.36;1;1;0.938813839401503
1;1.38;1;1;0.937005255818061
1;1.4;1;1;0.935940626724805
1;1.42;1;1;0.935572977231653
1;1.44;1;1;0.935852251336886
1;1.46;1;1;0.936726029474597
1;1.48;1;1;0.93773900757935
1;1.5;1;1;0.939522351468438
1;1.52;1;1;0.941749319051179
1;1.54;1;1;0.944364418568948
1;1.56;1;1;0.94731269765418
1;1.58;1;1;0.950540229537464
1;1.6;1;1;0.953994552024996
1;1.62;1;1;0.957625058662328
