r(t) - SetPoint; t - Tempo;e(t) - Erro;u(t) - Saído do Controlador;y(t) - Variável de Processo
1;0;1;1;0
1;0.02;0.999689589104341;0.999689589104341;0.000310410895659374
1;0.04;0.992452160279629;0.992452160279629;0.00754783972037113
1;0.06;0.976264033128001;0.976264033128001;0.023735966871999
1;0.08;0.952060967562895;0.952060967562895;0.0479390324371053
1;0.1;0.920866524137048;0.920866524137048;0.0791334758629517
1;0.12;0.883767116764463;0.883767116764463;0.116232883235537
1;0.14;0.841886771682312;0.841886771682312;0.158113228317688
1;0.16;0.79636292463391;0.79636292463391;0.20363707536609
1;0.18;0.760505004130939;0.760505004130939;0.239494995869061
1;0.2;0.711286706799492;0.711286706799492;0.288713293200508
1;0.22;0.661415845812227;0.661415845812227;0.338584154187773
1;0.24;0.611923522018734;0.611923522018734;0.388076477981266
1;0.26;0.563658174835771;0.563658174835771;0.436341825164229
1;0.28;0.517492772639077;0.517492772639077;0.482507227360923
1;0.3;0.474210693814427;0.474210693814427;0.525789306185573
1;0.32;0.434441836978649;0.434441836978649;0.565558163021351
1;0.34;0.39870474093871;0.39870474093871;0.60129525906129
1;0.36;0.367404380941863;0.367404380941863;0.632595619058137
1;0.38;0.340832312478262;0.340832312478262;0.659167687521738
1;0.4;0.324116783382282;0.324116783382282;0.675883216617718
1;0.42;0.306183231738004;0.306183231738004;0.693816768261996
1;0.44;0.293181076005871;0.293181076005871;0.706818923994129
1;0.46;0.285040521861623;0.285040521861623;0.714959478138377
1;0.48;0.281594607914138;0.281594607914138;0.718405392085862
1;0.5;0.282582125864295;0.282582125864295;0.717417874135705
1;0.52;0.287674969544509;0.287674969544509;0.712325030455491
1;0.54;0.296489094123293;0.296489094123293;0.703510905876707
1;0.56;0.308595789998573;0.308595789998573;0.691404210001427
1;0.58;0.323533028066389;0.323533028066389;0.676466971933611
1;0.6;0.340816653572678;0.340816653572678;0.659183346427322
1;0.62;0.359951224196805;0.359951224196805;0.640048775803195
1;0.64;0.380440309095463;0.380440309095463;0.619559690904537
1;0.66;0.396403588469154;0.396403588469154;0.603596411530846
1;0.68;0.41810612222904;0.41810612222904;0.58189387777096
1;0.7;0.439880103768042;0.439880103768042;0.560119896231958
1;0.72;0.461289999995043;0.461289999995043;0.538710000004957
1;0.74;0.48195015611973;0.48195015611973;0.51804984388027
1;0.76;0.501516199666745;0.501516199666745;0.498483800333255
1;0.78;0.519688777310465;0.519688777310465;0.480311222689535
1;0.8;0.536216162908488;0.536216162908488;0.463783837091512
1;0.82;0.550895769285983;0.550895769285983;0.449104230714017
1;0.84;0.563574611187451;0.563574611187451;0.436425388812549
1;0.86;0.574148783643696;0.574148783643696;0.425851216356304
1;0.88;0.580663460958233;0.580663460958233;0.419336539041767
1;0.9;0.587448700466882;0.587448700466882;0.412551299533118
1;0.92;0.592086895257451;0.592086895257451;0.407913104742549
1;0.940000000000001;0.594633695287785;0.594633695287785;0.405366304712215
1;0.960000000000001;0.595186041039175;0.595186041039175;0.404813958960825
1;0.980000000000001;0.593872403033819;0.593872403033819;0.406127596966181
1;1;0.590848118291875;0.590848118291875;0.409151881708125
1;1.02;0.586290534606225;0.586290534606225;0.413709465393775
1;1.04;0.58039407082865;0.58039407082865;0.41960592917135
1;1.06;0.573365293860647;0.573365293860647;0.426634706139353
