r(t) - SetPoint; t - Tempo;e(t) - Erro;u(t) - Saído do Controlador;y(t) - Variável de Processo
1;0;0.351366761582866;3.51366761582866;0.648633238417134
1;0.02;0.341800614056891;3.4531428167272;0.658199385943109
1;0.04;0.301356789114043;3.08288462870441;0.698643210885957
1;0.06;0.264686201180781;2.74631442828319;0.735313798819219
1;0.08;0.232224574641529;2.44816678300875;0.767775425358471
1;0.1;0.202623743365576;2.17538092771337;0.797376256634424
1;0.12;0.177321491532158;1.94262078371575;0.822678508467842
1;0.14;0.154979991282934;1.73693793037672;0.845020008717066
1;0.16;0.135229946912809;1.55493548580377;0.864770053087191
1;0.18;0.117772126932097;1.39388028068793;0.882227873067903
1;0.2;0.102342650627887;1.25136273033904;0.897657349372113
1;0.22;0.088708019698347;1.12525068610643;0.911291980301653
1;0.24;0.0766615934395;1.01365722548779;0.9233384065605
1;0.26;0.066020498849956;0.914912438936302;0.933979501150044
1;0.28;0.056622897098378;0.827538471305517;0.943377102901622
1;0.3;0.048325564402746;0.750227434059036;0.951674435597254
1;0.32;0.042773377176213;0.69953811823398;0.957226622823787
1;0.34;0.03599616864364;0.636043370625871;0.96400383135636
1;0.36;0.029916959093374;0.578850891987575;0.970083040906626
1;0.38;0.024744639740503;0.530119394368203;0.975255360259497
1;0.4;0.020192186833725;0.487069329274473;0.979807813166275
1;0.42;0.0161819287548109;0.448985967168705;0.983818071245189
1;0.44;0.012651100883052;0.415295881326596;0.987348899116948
1;0.46;0.00954436141294501;0.385493596713832;0.990455638587055
1;0.48;0.006812742249379;0.359131841219466;0.993187257750621
1;0.5;0.00441290934067695;0.335814786357383;0.995587090659323
1;0.52;0.00223665069176204;0.314493490802302;0.997763349308238
1;0.54;0.000396180662521006;0.296312455579068;0.999603819337479
1;0.56;-0.00121325340036993;0.280257733016411;1.00121325340037
1;0.58;-0.00262063988473993;0.266062542832674;1.00262063988474
1;0.6;-0.00355313654261002;0.256475512265499;1.00355313654261
1;0.62;-0.0046801024974199;0.244850539063139;1.00468010249742
1;0.64;-0.00567766582962004;0.234406895491396;1.00567766582962
1;0.66;-0.00654096019223993;0.225206185282235;1.00654096019224
1;0.68;-0.00728478508153008;0.217113840370109;1.00728478508153
1;0.7;-0.00789922578029989;0.210240954874258;1.0078992257803
1;0.72;-0.0084263946377201;0.204179343722026;1.00842639463772
1;0.74;-0.0088774140005099;0.198826510630356;1.00887741400051
1;0.76;-0.00926123980373994;0.194100511198005;1.00926123980374
1;0.78;-0.0095857661905201;0.189929123349829;1.00958576619052
1;0.8;-0.00985797661665999;0.186248442469378;1.00985797661666
1;0.82;-0.0100840495872201;0.183001915102111;1.01008404958722
1;0.84;-0.0102255692951601;0.180578313063989;1.01022556929516
1;0.86;-0.01038643133909;0.177947135695174;1.01038643133909
1;0.88;-0.0105166729903801;0.175606076048364;1.01051667299038
1;0.9;-0.0106168516795999;0.173552621857128;1.0106168516796
1;0.92;-0.0106843376731101;0.171816076754066;1.01068433767311
1;0.940000000000001;-0.01072992204797;0.170291799238156;1.01072992204797
1;0.960000000000001;-0.0107565066048101;0.168952961464958;1.01075650660481
1;0.980000000000001;-0.01076643270121;0.167778049840478;1.01076643270121
1;1;-0.0107617631967201;0.166748101615256;1.01076176319672
1;1.02;-0.01074432186453;0.165846338617485;1.01074432186453
1;1.04;-0.0107157211548199;0.165057913528133;1.01071572115482
1;1.06;-0.0106773865238701;0.164369687722149;1.01067738652387
1;1.08;-0.0106427872346999;0.163647941961464;1.0106427872347
1;1.1;-0.0105896584196199;0.163114951388794;1.01058965841962
1;1.12;-0.0105291154270799;0.162661415472232;1.01052911542708
1;1.14;-0.01046142148587;0.162285443341623;1.01046142148587
1;1.16;-0.01038912335582;0.161962282493536;1.01038912335582
1;1.18;-0.0103129374658699;0.161685229057455;1.01031293746587
1;1.2;-0.01023344439624;0.161448866007167;1.01023344439624
1;1.22;-0.0101511547740101;0.161248417789842;1.01015115477401
1;1.24;-0.0100665190356;0.161079659696542;1.0100665190356
1;1.26;-0.00997993442199996;0.160938853928982;1.009979934422
1;1.28;-0.0098917511135499;0.160822693571283;1.00989175111355
1;1.3;-0.00980227765721997;0.160728253023227;1.00980227765722
1;1.32;-0.00973446257196997;0.160426176110005;1.00973446257197
1;1.34;-0.00964201179697999;0.160377237602708;1.00964201179698
1;1.36;-0.00954764250958995;0.160356729296911;1.00954764250959
1;1.38;-0.00945298414484008;0.16034854869345;1.00945298414484
1;1.4;-0.00935837992003008;0.160349292527066;1.00935837992003
1;1.42;-0.00926394690518006;0.160357784683563;1.00926394690518
1;1.44;-0.00916978116733991;0.160373047371447;1.00916978116734
1;1.46;-0.0090759662658999;0.160394218269113;1.0090759662659
1;1.48;-0.00898257491002008;0.160420535201321;1.00898257491002
1;1.5;-0.00891285925295993;0.160219434280921;1.00891285925296
1;1.52;-0.00881896667192006;0.160267074166023;1.00881896667192
1;1.54;-0.00872434258781007;0.160331418339931;1.00872434258781
1;1.56;-0.00863057884568996;0.160396621502351;1.00863057884569
1;1.58;-0.00853777895348995;0.160461562539783;1.00853777895349
1;1.6;-0.00844613913939996;0.160524182785334;1.0084461391394
1;1.62;-0.00835544006399003;0.160586559625493;1.00835544006399
1;1.64;-0.00826567070845008;0.160648709174493;1.00826567070845
1;1.66;-0.00817682644217999;0.160710584766349;1.00817682644218
1;1.68;-0.00808890227239001;0.160772143820031;1.00808890227239
1;1.7;-0.00802358263050995;0.160616450011593;1.00802358263051
1;1.72;-0.00793595421878002;0.160690375865841;1.00793595421878
1;1.74;-0.0078480114594599;0.160776208037164;1.00784801145946
1;1.76;-0.00776145921066007;0.160856929379216;1.00776145921066
1;1.78;-0.00767606288713996;0.160934746693351;1.00767606288714
1;1.8;-0.0075917787570301;0.161009981705736;1.00759177875703
1;1.82;-0.00750857267800997;0.161082864620234;1.00750857267801
1;1.84;-0.00742641360976992;0.161153598034834;1.00742641360977
1;1.86;-0.00736548998165998;0.161020192954956;1.00736548998166
1;1.88;-0.00728388298161997;0.16109971395719;1.00728388298162
1;1.9;-0.00720211668923998;0.161188988582828;1.00720211668924
1;1.92;-0.00712179304623994;0.161272013343905;1.00712179304624
1;1.94;-0.00704264390828002;0.16135132541888;1.00704264390828
