r(t) - SetPoint; t - Tempo;e(t) - Erro;u(t) - Saído do Controlador;y(t) - Variável de Processo
1;0;0.835649239796544;3;0.164350760203456
1;0.02;0.817986609835205;3;0.182013390164795
1;0.04;0.782386248843315;3;0.217613751156685
1;0.06;0.746857017420129;3;0.253142982579871
1;0.08;0.711398773448675;3;0.288601226551325
1;0.1;0.676011375095931;3;0.323988624904069
1;0.12;0.640694680812255;3;0.359305319187745
1;0.14;0.605448549330823;3;0.394551450669177
1;0.16;0.579060172737093;3;0.420939827262907
1;0.18;0.543937187084934;3;0.456062812915066
1;0.2;0.508884377204915;3;0.491115622795085
1;0.22;0.473901602885749;3;0.526098397114251
1;0.24;0.438988724196294;3;0.561011275803706
1;0.26;0.404145601484988;3;0.595854398515012
1;0.28;0.369372095379293;3;0.630627904620707
1;0.3;0.334668066785139;3;0.665331933214861
1;0.32;0.300033376886364;3;0.699966623113636
1;0.34;0.265467887144165;3;0.734532112855835
1;0.36;0.239589099256638;3;0.760410900743362
1;0.38;0.205144377261694;3;0.794855622738306
1;0.4;0.1707684758672;2.75564726496101;0.8292315241328
1;0.42;0.137926641165823;2.44430576553396;0.862073358834177
1;0.44;0.108481458722447;2.16364660521679;0.891518541277553
1;0.46;0.0834843958345159;1.92452412220972;0.916515604165484
1;0.48;0.061528271506228;1.71331131851029;0.938471728493772
1;0.5;0.042231618964328;1.52649762024192;0.957768381035672
1;0.52;0.025286114602295;1.36126573851802;0.974713885397705
1;0.54;-0.0182348089570199;0.92962710445957;0.989580099255287
1;0.56;-0.0182348089570199;0.92962710445957;1.01823480895702
1;0.58;-0.0441865914323101;0.664093875148648;1.04191923662318
1;0.6;-0.0441865914323101;0.664093875148648;1.04418659143231
1;0.62;-0.1088437259891;-0.00331791724755037;1.07412720918666
1;0.64;-0.1088437259891;-0.00331791724755037;1.09009066766403
1;0.66;-0.1088437259891;-0.00331791724755037;1.1088437259891
1;0.68;-0.11167689136052;-0.0649300268769581;1.11171800813341
1;0.7;-0.11167689136052;-0.0649300268769581;1.11224282502957
1;0.72;-0.11167689136052;-0.0649300268769581;1.11167689136052
1;0.74;-0.10962798160255;-0.0776841730545592;1.11037777310624
1;0.76;-0.10962798160255;-0.0776841730545592;1.11037777310624
1;0.78;-0.10962798160255;-0.0776841730545592;1.10962798160255
1;0.8;-0.10735321921228;-0.0874476215147357;1.10812952281395
1;0.82;-0.10735321921228;-0.0874476215147357;1.10735321921228
1;0.84;-0.10735321921228;-0.0874476215147357;1.10735321921228
1;0.86;-0.10337798541733;-0.0793505139116226;1.10500686343511
1;0.88;-0.10337798541733;-0.0793505139116226;1.10419222081647
1;0.9;-0.10337798541733;-0.0793505139116226;1.10337798541733
1;0.92;-0.10178891062637;-0.0737975645437563;1.10178891062637
1;0.940000000000001;-0.0994405015605799;-0.0604923649484919;1.09944050156058
1;0.960000000000001;-0.0978990465277201;-0.0550218647759514;1.09789904652772
