r(t) - SetPoint; t - Tempo;e(t) - Erro;u(t) - Saído do Controlador;y(t) - Variável de Processo
1;0;0.340832568381812;10.2249770514544;0.659167431618188
1;0.02;0.311153314636986;0.824010206615736;0.688846685363014
1;0.04;0.274497801374292;0.475660751794674;0.725502198625708
1;0.06;0.270263758348384;1.27326222662601;0.729736241651616
1;0.08;0.261236330593836;1.11639838238772;0.738763669406164
1;0.1;0.248389216266758;0.9645077363569;0.751610783733242
1;0.12;0.237873533944372;0.977666801350273;0.762126466055628
1;0.14;0.227715394377914;0.942950878434512;0.772284605622086
1;0.16;0.217746334041566;0.90466401933686;0.782253665958434
1;0.18;0.208349498662875;0.878517856406079;0.791650501337125
1;0.2;0.199321236990035;0.848841375648039;0.800678763009965
1;0.22;0.192709628333768;0.882179294890731;0.807290371666232
1;0.24;0.183846862018898;0.787367810701317;0.816153137981102
1;0.26;0.175754628335243;0.771685363923986;0.824245371664757
1;0.28;0.168103536293181;0.749731083603556;0.831896463706819
1;0.3;0.16071213662875;0.724309500810972;0.83928786337125
1;0.32;0.153629875408382;0.701448019909572;0.846370124591618
1;0.34;0.146843495048189;0.679522035875233;0.853156504951811
1;0.36;0.14033632434049;0.658371728500532;0.85966367565951
1;0.38;0.134098027983725;0.638112195220273;0.865901972016275
1;0.4;0.12811773484819;0.618683750912857;0.87188226515181
1;0.42;0.122384787599559;0.600046193887748;0.877615212400441
1;0.44;0.116889090483159;0.582170505239512;0.883110909516841
1;0.46;0.112870010048059;0.602497192811005;0.887129989951941
1;0.48;0.107480629226806;0.544678879352359;0.892519370773194
1;0.5;0.102561117696631;0.535052472855237;0.897438882303369
1;0.52;0.097911159731238;0.52161835567872;0.902088840268762
1;0.54;0.093420137533031;0.506073973659274;0.906579862466969
1;0.56;0.08911811485371;0.492091452360809;0.91088188514629
1;0.58;0.08499698758818;0.478681744823544;0.91500301241182
1;0.6;0.082023378158282;0.495051553192501;0.917976621841718
1;0.62;0.07802088633044;0.45177773544944;0.92197911366956
1;0.64;0.074187832978407;0.439189057174413;0.925812167021593
1;0.66;0.0707349049903;0.433653186321379;0.9292650950097
1;0.68;0.067376361448593;0.421342126922555;0.932623638551407
1;0.7;0.064151823332656;0.410590862830575;0.935848176667344
1;0.72;0.061067285292278;0.400592729217641;0.938932714707722
1;0.74;0.058111023309696;0.390850339308398;0.941888976690304
1;0.76;0.055278225680266;0.38151629068934;0.944721774319734
1;0.78;0.052564207515721;0.372574033259149;0.947435792484279
1;0.8;0.0499371918750811;0.363190944379047;0.950062808124919
1;0.82;0.047453382637746;0.355850174031246;0.952546617362254
1;0.84;0.045068653511068;0.347827132643415;0.954931346488932
1;0.86;0.043347840179058;0.357173020455396;0.956652159820942
1;0.88;0.041033430723371;0.332061505290407;0.958966569276629
1;0.9;0.038893488400071;0.326954474905286;0.961106511599929
1;0.92;0.036878953328738;0.321183785499797;0.963121046671262
1;0.940000000000001;0.034935634875978;0.314353977300182;0.965064365124022
1;0.960000000000001;0.033074903170481;0.308163056500555;0.966925096829519
1;0.980000000000001;0.031294019328454;0.302247080972282;0.968705980671546
1;1;0.029588437850276;0.296540553257471;0.970411562149724
1;1.02;0.027955301270846;0.29107364596453;0.972044698729154
1;1.04;0.026391682633185;0.285832160358576;0.973608317366815
1;1.06;0.025264734493171;0.291905932578675;0.974735265506829
1;1.08;0.023749274210682;0.275373769639149;0.976250725789318
1;1.1;0.022299597205669;0.270482444777307;0.977700402794331
1;1.12;0.020995849884894;0.268280938195551;0.979004150115106
1;1.14;0.019729154477235;0.263503634481703;0.980270845522765
1;1.16;0.018514546403443;0.259324652093734;0.981485453596557
1;1.18;0.01735425461804;0.255436536768548;0.98264574538196
1;1.2;0.016243762930258;0.251649708408704;0.983756237069742
1;1.22;0.015181189864613;0.248022121521814;0.984818810135387
1;1.24;0.014164704251114;0.244547315453906;0.985835295748886
1;1.26;0.013192363121215;0.241214163021942;0.986807636878785
1;1.28;0.012262346806076;0.238017972708885;0.987737653193924
1;1.3;0.0115927101075149;0.241547150034712;0.988407289892485
1;1.32;0.01069302334996;0.231645246075315;0.98930697665004
1;1.34;0.00983337256964001;0.228668682305086;0.99016662743036
1;1.36;0.00906153074078997;0.227299698124675;0.99093846925921
1;1.38;0.00830835493055104;0.224272315460982;0.991691645069449
